query,labels
"can i see gastroentrologist today evng ?, for tat hw can I make appointment??, can u plz tel me doctor name?? ",Appointment 
"Now I am at Qatar, I plan to come on 26-July-2017 , probably I need 27th July 2017 appointment, +974 66058656 my number , if you provide your execute number I can call them. ",Appointment 
"We need dr. g. venkatraman MBBS, MD , DM's appointment ",Appointment 
i want to book appointment on 21st may for cardiologist ,Appointment 
book appointment for health checkup on 22nd may at 5pm ,Appointment 
I would like to book an appointment ,Appointment 
"I AM HABIB , I WANT A APPOINTMENT FOR TOMMOROW ",Appointment 
I would like to know the obgyn doctor consulting hours?. We need to get appoinment ? ,Appointment 
i want to consullt Dr. Balamurali can i get consultation time? ,Appointment 
"I am Raghavan from Coimbatore. Want an appointment with Dr.R.Balasubramaniam , tomorrow afternoon by 3.00 ",Appointment 
need an appointment for Dr N Sekar ,Appointment 
"Hello, I want to book an appointment ",Appointment 
How can I get appointment ,Appointment 
"I need an appointment for LFT test for tomorrow morning, how much is it? ",Appointment 
Hi! I would like to have an appointment with Dr. Niraj Joshi . Can you help me with it please? ,Appointment 
I want to book an appointment for tomorrow for health checkup ,Appointment 
I need an appointment with Dr. Shriraam Mahadevan ... Please let me know his availability ,Appointment 
hi would like to book an appointment with Dr.Sivaram Kannan today ,Appointment 
"Want to fix an appointmenbt with SR. UROLOGIST , DR. GANESH IN CONNECTION WITH KIDNEY TRANSPALNT FROM DELHI. APPOINTMENT FOR DOCTOR ON FRIDAY 287.8.17 AT 3. PM ONWARDS ",Appointment 
Need appointment with Dr N Sekar for patient coming from Trichy . Expected to arrive at 10 pm today ,Appointment 
i need an appointment tomorrow ,Appointment 
I need an appointment for urologist ,Appointment 
we need to fix an appointment tomorrow 7pm with Dr.Shweta Rahul ,Appointment 
"Hello, when is the earliest I can get an appointment with Dr Suresh Kumar . Thanks. ",Appointment 
Hi I need an appointment with Dr Shriraam Mahadevan on 27th August . ,Appointment 
Can I make a reservation today at 17:15 for Dr. Vijay Karthick in Chennai Alwarpet. ,Appointment 
I want an appointment with Dr. S. mahalakshmi on 02.08 . ,Appointment 
can I have an appointment with Dr.Vadivel Kumaran ? ,Appointment 
Please give appointment for health check up tomorrow morning ,Appointment 
Consultation with Dr Supriya pulmonologist . ,Appointment 
"I would like to have dr. Balasubramanian appointment tomorrow , nephrologist ",Appointment 
i want to consult dr. Balasubramanian ,Appointment 
need appointment from Trichy for orthopaedics ,Appointment 
i am looking for appointment in trichy heart city ,Appointment 
book appointment for neurologist ,Appointment 
book appointment for cardiologist ,Appointment 
book appointment for chennai ,Appointment 
book appointment in hosur for cardiologist ,Appointment 
i want Consulting time ,Appointment 
Coming Wednesday please Make an appointment for vascular surgeon and send me the appointment details ,Appointment 
Can i have Dr.Raguram 's appointment by next friday ,Appointment 
Need appointment on Sunday for full body checkup ,Appointment 
"can i get an appointment with Dr Senthikumar ,urologist at the earliest ",Appointment 
I need appoinment today 6.PM ,Appointment 
need an appoint for tomorrow with dr. sivarajan ,Appointment 
appointment tomorrow ,Appointment 
"In Master Health Checkup, What are all the tests covered..? ",Health checkup 
How much for well women check ,Health checkup 
"I want full body checkup, what are the packages? ",Health checkup 
what is the cost for master health checkup for female age 42 ,Health checkup 
i want to know health checkup details for my parents.. ,Health checkup 
i'm looking for health check up packages. can you please assist me? ,Health checkup 
my mom need complete checkup ,Health checkup 
I need medical test ,Health checkup 
Hi may i know the cost for HEALTH CHECKUP PACKAGES - COMPREHENSIVE ,Health checkup 
Hi I would like to know details of Comprehensive Health check. ,Health checkup 
I am looking for master health check up for two aged 65 and 61 ,Health checkup 
"i want to know detail about general medical check up, can u furnish detail about cost,time,location etc,. ",Health checkup 
looking for health checkup ,Health checkup 
how much your charge for master health check up for men age 46 years ,Health checkup 
suggest me some health packages ,Health checkup 
"I want full health checkup, any suggestions? ",Health checkup 
Show me health packages ,Health checkup 
i want to know about health packages ,Health checkup 
what are the health packages available ? ,Health checkup 
I want to know more about health packages ,Health checkup 
i need health packages ,Health checkup 
what are the checkups available ? ,Health checkup 
need to know about master health checkup ,Health checkup 
can you give me more details about health checkups ,Health checkup 
where i submit my resume ,Career 
"help me, trichy kauvery hospital lab technician any vacancy detail send me. ",Career 
apply for job in kauvery ,Career 
Hai Sir I am Nandhini I want job vacancy detail in our hospital ,Career 
i want to apply for job in kauvery ,Career 
Im a physiotherapist in the process of seeking job ,Career 
job wanted in kmc hospital ,Career 
I would like to know about job vacancy...Can anyone help me out ,Career 
"hi, i want to contact HR, where i submit my resume ",Career 
"Hello sir need a job details in operation position, Trichy or in karaikudi location ",Career 
applying for job ,Career 
i am looking for job ,Career 
can i get Alwarpet radialogy reception telephone number ,Chennai alwarpet Contact 
contact info for kauvery chennai alwarpet hospital ,Chennai alwarpet Contact 
i want contact information for chennai alwarpet location ,Chennai alwarpet Contact 
where are you located in alwarpet? ,Chennai alwarpet Contact 
what is location for chennai alwarpet? ,Chennai alwarpet Contact 
plz give me contact info for chennai anna nagar ,Chennai Anna nagar contact 
contact information for chennai anna nagar ,Chennai Anna nagar contact 
"I am in chennai, can I have contact number for your anna nagar branch ",Chennai Anna nagar contact 
what is the address for chennai anna nagar ,Chennai Anna nagar contact 
where are u located in chennai anna nagar ,Chennai Anna nagar contact 
i want to contact trichy cantonment branch ,Trichy Cantonment Contact 
can you give me trichy cantonment contact information ,Trichy Cantonment Contact 
contact numbers for trichy cantonment location ,Trichy Cantonment Contact 
what is the address in trichy  ,Trichy Cantonment Contact 
where are you located in trichy ,Trichy Cantonment Contact 
opward entrance fees how much for ent ,Pricing inquiries 
what is the price for operation in your hospital ,Pricing inquiries 
"i want to do health primary k-phc, what is price ",Pricing inquiries 
WHAT WOULD BE THE CHARGES FOR ANGIOGRAM ,Pricing inquiries 
WE HAVE A PATIENT IN OUR FAMILY WITH 70% BLOCK IN THE HEART ARETARY. wHAT WOULD BE CHARGES FOR ANGIOPLAST PLEAASE? ,Pricing inquiries 
Varicose vein laser operation cost ,Pricing inquiries 
Hi! whats the cost for ECG test? ,Pricing inquiries 
"Please let me know,angiography cost ",Pricing inquiries 
what would be the approximate cost for liver transplant ? ,Pricing inquiries 
Can you please share the charges or the the package for pregnancy delivery. ,Pricing inquiries 
what is the cost of consulting doctor for neuro surgery? ,Pricing inquiries 
price for 4D ultrasound? ,Pricing inquiries 
"Hi, my mother in Bangladesh. She has a tumour in the back of her head near brain which need to be treated. Just wondering if you can guide me about the expenses. ",Pricing inquiries 
What is the cost of pacemaker surgery ,Pricing inquiries 
Health check up cost ,Pricing inquiries 
what is the price ? ,Pricing inquiries 
I hve some skin prblm ,Disease Inquiries 
"dear sir, my father has urinal complaint. doctor advised do do operation. we are kumbakonam. when will get addmision. ",Disease Inquiries 
"I have head ache, plz suggest me ",Disease Inquiries 
"my wife is suffering from ovarian cyst, searching for doctor ",Disease Inquiries 
I am suffering from rectum itching for the past 1 month.... Please suggest me ,Disease Inquiries 
I want to know if doctors are available for treating hearing loss problem in old people in Trichy Cantonement hospital. ,Disease Inquiries 
i have burning sensation in my foot. kindly suggest please ,Disease Inquiries 
"Neck pain , uneasy feeling in the head . ",Disease Inquiries 
" Hi, this is vijay, im suffering from fatty liver. if any specialized doctor is there for that ",Disease Inquiries 
My sister is facing this stomach acid related problems for the past 9 months.. she has been taken medications given by some doctors.. ,Disease Inquiries 
"I have my sister whose ribs are believe to be opened. As the results, she currently sit in wheelchair and cannot walk. I intend to have her take treatment at your hospital. Can you please advise me what next to do or how to begin? ",Disease Inquiries 
I want to remove my acne scars in my face.Its too arrogant and Painful.Please give an appoinment to meet your specialist in your hospital. ,Disease Inquiries 
I have problem with my eyes ,Disease Inquiries 
"i have stomach infection, please guide me ",Disease Inquiries 
contact info for trichy tennur ,Trichy Tennur Contact 
where are you located in trichy tennur? ,Trichy Tennur Contact 
phone number for trichy tennur area,Trichy Tennur Contact 
contact details for tennur in trichy,Trichy Tennur Contact 
where are you located in karaikudi ,Karaikudi contact 
contact details for kauvery karaikudi branch ,Karaikudi contact 
contct numbers for karaikudi hospital ,Karaikudi contact 
contact info for salem hospital ,Salem Contact 
what is the location of salem hospital ,Salem Contact 
I want contact information for salem location ,Salem Contact 
where are u located in salem ,Salem Contact 
I need contact details of hosur hospital ,Hosur Contact 
where are you located in hosur ,Hosur Contact 
what is the location for hosur ,Hosur Contact 
i want contact number of receptionist in hosur ,Hosur Contact 
talk to agent ,5af1731942d4e2977a5d1bb8 
live chat ,5af1731942d4e2977a5d1bb8 
chat with agent ,5af1731942d4e2977a5d1bb8 
live chat with agent ,5af1731942d4e2977a5d1bb8 
talk live with agent ,5af1731942d4e2977a5d1bb8 
I am looking for trichy heart city info ,Trichy Heart City Contact 
trichy heart city numbers ,Trichy Heart City Contact 
need contact details of heeart city,Trichy Heart City Contact 
phone numbers of trichi heart city,Trichy Heart City Contact 
Contact Information ,General Contact 
share contact number plz ,General Contact 
I want location ,General Contact 
address please ,General Contact 
where is hospital ,General Contact 
where are you located? ,General Contact 
can u plz share contact person number ,General Contact 
kauvery hospital contact details ,General Contact 
contact details plz ,General Contact 
Courses in your college ,College Queries 
What are the course offered ,College Queries 
what is name of your medical college ,College Queries 
what are available courses in college ,College Queries 
college contact info ,College Queries 
kauvery college information ,College Queries 
your age ,system_agent_age 
How old are you ? ,system_agent_age 
how old is your platform ,system_agent_age 
what's your age ,system_agent_age 
I'd like to know your age ,system_agent_age 
age of yours ,system_agent_age 
tell me your age ,system_agent_age 
are you 21 years old ,system_agent_age 
how old are you ,system_agent_age 
what is your age? ,system_agent_age 
say about you ,system_agent_acquaintance 
why are you here ,system_agent_acquaintance 
what is your personality ,system_agent_acquaintance 
describe yourself ,system_agent_acquaintance 
talk about yourself ,system_agent_acquaintance 
define yourself ,system_agent_acquaintance 
tell me about yourself ,system_agent_acquaintance 
tell me about you ,system_agent_acquaintance 
what are you ,system_agent_acquaintance 
who are you ,system_agent_acquaintance 
Who are you? ,system_agent_acquaintance 
I want to know more about you ,system_agent_acquaintance 
tell me about your personality ,system_agent_acquaintance 
talk some stuff about yourself ,system_agent_acquaintance 
all about you ,system_agent_acquaintance 
tell me some stuff about you ,system_agent_acquaintance 
I want to know you better ,system_agent_acquaintance 
introduce yourself ,system_agent_acquaintance 
about yourself ,system_agent_acquaintance 
you are annoying me ,system_agent_annoying 
you're so annoying ,system_agent_annoying 
you annoy me ,system_agent_annoying 
you are such annoying ,system_agent_annoying 
you are annoying ,system_agent_annoying 
you are very annoying ,system_agent_annoying 
how annoying you are ,system_agent_annoying 
you're incredibly annoying ,system_agent_annoying 
you are irritating ,system_agent_annoying 
you are annoying me so much ,system_agent_annoying 
you're too annoying ,system_agent_annoying 
I find you annoying ,system_agent_annoying 
answering questions ,system_agent_answer_my_question 
tell me the answer ,system_agent_answer_my_question 
I want you to answer me ,system_agent_answer_my_question 
answers ,system_agent_answer_my_question 
answer the question ,system_agent_answer_my_question 
can you answer a question for me ,system_agent_answer_my_question 
I want you to answer my question ,system_agent_answer_my_question 
can you answer me ,system_agent_answer_my_question 
can you answer my question ,system_agent_answer_my_question 
give me an answer ,system_agent_answer_my_question 
answer it ,system_agent_answer_my_question 
I want the answer now ,system_agent_answer_my_question 
I have a question ,system_agent_answer_my_question 
just answer my question ,system_agent_answer_my_question 
just answer the question ,system_agent_answer_my_question 
give me the answer ,system_agent_answer_my_question 
answer my question ,system_agent_answer_my_question 
you're bad ,system_agent_bad 
you are horrible ,system_agent_bad 
you are useless ,system_agent_bad 
you are waste ,system_agent_bad 
you're not a good ,system_agent_bad 
you're the worst ,system_agent_bad 
you're not helping me ,system_agent_bad 
you're a bad ,system_agent_bad 
you are lame ,system_agent_bad 
 I hate you ,system_agent_bad 
you are bad ,system_agent_bad 
you're very bad ,system_agent_bad 
you're terrible ,system_agent_bad 
you are not cool ,system_agent_bad 
you are so useless ,system_agent_bad 
you are totally useless ,system_agent_bad 
you're awful ,system_agent_bad 
you are not good ,system_agent_bad 
you are a waste of time ,system_agent_bad 
you're the worst ever ,system_agent_bad 
you're worthless ,system_agent_bad 
you are no good ,system_agent_bad 
you are terrible ,system_agent_bad 
you're really bad ,system_agent_bad 
you are disgusting ,system_agent_bad 
you are very bad ,system_agent_bad 
you're not very good ,system_agent_bad 
you are so bad ,system_agent_bad 
you must learn ,system_agent_be_clever 
get qualified ,system_agent_be_clever 
study ,system_agent_be_clever 
can you get smarter ,system_agent_be_clever 
you should study better ,system_agent_be_clever 
be more clever ,system_agent_be_clever 
be smart ,system_agent_be_clever 
be smarter ,system_agent_be_clever 
be clever ,system_agent_be_clever 
Can you get more smart ? ,system_agent_be_clever 
you are looking awesome ,system_agent_beautiful 
you're looking good ,system_agent_beautiful 
you look fantastic ,system_agent_beautiful 
you look great today ,system_agent_beautiful 
I think you're beautiful ,system_agent_beautiful 
you look amazing today ,system_agent_beautiful 
you're looking good today ,system_agent_beautiful 
you are so beautiful today ,system_agent_beautiful 
you look very pretty ,system_agent_beautiful 
you look pretty good ,system_agent_beautiful 
you look so good ,system_agent_beautiful 
you are gorgeous ,system_agent_beautiful 
you are too beautiful ,system_agent_beautiful 
you are so beautiful ,system_agent_beautiful 
why are you so beautiful ,system_agent_beautiful 
you are looking so beautiful ,system_agent_beautiful 
you are really beautiful ,system_agent_beautiful 
you are so beautiful to me ,system_agent_beautiful 
you are handsome ,system_agent_beautiful 
you are cute ,system_agent_beautiful 
you are really pretty ,system_agent_beautiful 
you look so beautiful ,system_agent_beautiful 
you look so well ,system_agent_beautiful 
you are beautiful ,system_agent_beautiful 
you are very beautiful ,system_agent_beautiful 
you are so gorgeous ,system_agent_beautiful 
you look cool ,system_agent_beautiful 
you are looking so good ,system_agent_beautiful 
you are very pretty ,system_agent_beautiful 
you look wonderful ,system_agent_beautiful 
you're cute ,system_agent_beautiful 
you're attractive ,system_agent_beautiful 
you look amazing ,system_agent_beautiful 
you are pretty ,system_agent_beautiful 
you look so beautiful today ,system_agent_beautiful 
you look gorgeous ,system_agent_beautiful 
you are looking beautiful today ,system_agent_beautiful 
I like the way you look ,system_agent_beautiful 
you look awesome ,system_agent_beautiful 
you are so cute ,system_agent_beautiful 
you are very attractive ,system_agent_beautiful 
you are so pretty ,system_agent_beautiful 
you're so gorgeous ,system_agent_beautiful 
you are so attractive ,system_agent_beautiful 
I like the way you look now ,system_agent_beautiful 
you look great ,system_agent_beautiful 
you are cutie ,system_agent_beautiful 
you look wonderful today ,system_agent_beautiful 
you are looking great ,system_agent_beautiful 
you look perfect ,system_agent_beautiful 
you are looking pretty ,system_agent_beautiful 
you are really cute ,system_agent_beautiful 
you are very cute ,system_agent_beautiful 
you are so handsome ,system_agent_beautiful 
you're pretty ,system_agent_beautiful 
when is your birthday ,system_agent_birth_date 
when do you celebrate your birthday ,system_agent_birth_date 
when were you born ,system_agent_birth_date 
when do you have birthday ,system_agent_birth_date 
date of your birthday ,system_agent_birth_date 
what's your birthday ,system_agent_birth_date 
your birth date ,system_agent_birth_date 
you're so boring ,system_agent_boring 
you're incredibly boring ,system_agent_boring 
how boring you are ,system_agent_boring 
you're really boring ,system_agent_boring 
you are boring ,system_agent_boring 
you are very boring ,system_agent_boring 
you are boring me ,system_agent_boring 
who is your master ,system_agent_boss 
who do you work for ,system_agent_boss 
who do you think is your boss ,system_agent_boss 
who is your boss ,system_agent_boss 
I should be your boss ,system_agent_boss 
who is your owner ,system_agent_boss 
who is the boss ,system_agent_boss 
are you so busy ,system_agent_busy 
are you busy ,system_agent_busy 
are you still working ,system_agent_busy 
you're a busy person ,system_agent_busy 
are you very busy ,system_agent_busy 
are you still working on it ,system_agent_busy 
are you working now ,system_agent_busy 
you are busy ,system_agent_busy 
are you working today ,system_agent_busy 
have you got much to do ,system_agent_busy 
are you working ,system_agent_busy 
you seem to be very busy ,system_agent_busy 
have you been busy ,system_agent_busy 
how busy you are ,system_agent_busy 
you seem to be busy ,system_agent_busy 
do you have a lot of things to do ,system_agent_busy 
are you very busy right now ,system_agent_busy 
you're very busy ,system_agent_busy 
can you do something for me ,system_agent_can_you_help 
do me a favor ,system_agent_can_you_help 
I need you to do something for me ,system_agent_can_you_help 
can u help me ,system_agent_can_you_help 
I want your help ,system_agent_can_you_help 
I need you to help me ,system_agent_can_you_help 
need your help ,system_agent_can_you_help 
would you help me ,system_agent_can_you_help 
I need help ,system_agent_can_you_help 
I need you ,system_agent_can_you_help 
you help me ,system_agent_can_you_help 
can you help me with that ,system_agent_can_you_help 
can you assist me ,system_agent_can_you_help 
you can help me ,system_agent_can_you_help 
help me with a problem ,system_agent_can_you_help 
do you help me ,system_agent_can_you_help 
can you help us ,system_agent_can_you_help 
can you help me now ,system_agent_can_you_help 
assist me ,system_agent_can_you_help 
could you give me a hand ,system_agent_can_you_help 
I need a hand ,system_agent_can_you_help 
will you help me ,system_agent_can_you_help 
please help me ,system_agent_can_you_help 
can you help me ,system_agent_can_you_help 
help me ,system_agent_can_you_help 
I need your help ,system_agent_can_you_help 
need help ,system_agent_can_you_help 
do you want to help me ,system_agent_can_you_help 
can help me ,system_agent_can_you_help 
can you help ,system_agent_can_you_help 
I need you right now ,system_agent_can_you_help 
can you help me with something ,system_agent_can_you_help 
are you going to help me ,system_agent_can_you_help 
I need some help ,system_agent_can_you_help 
can you help me out ,system_agent_can_you_help 
are you a bot ,system_agent_chatbot 
are you a program ,system_agent_chatbot 
you're a robot ,system_agent_chatbot 
are you a chatbot ,system_agent_chatbot 
you are chatbot ,system_agent_chatbot 
are you a robot ,system_agent_chatbot 
are you just a bot ,system_agent_chatbot 
you are a bot ,system_agent_chatbot 
howdy ,system_greetings_hello 
hey ,system_greetings_hello 
long time no see ,system_greetings_hello 
heya ,system_greetings_hello 
hi ,system_greetings_hello 
a good day ,system_greetings_hello 
just going to say hi ,system_greetings_hello 
lovely day isn't it ,system_greetings_hello 
I greet you ,system_greetings_hello 
hi there ,system_greetings_hello 
greetings ,system_greetings_hello 
hey there ,system_greetings_hello 
hello there ,system_greetings_hello 
hello ,system_greetings_hello 
hello again ,system_greetings_hello 
hi there ,system_greetings_hello 
hello hi ,system_greetings_hello 
good what's up ,system_greetings_whatsup 
what is happening ,system_greetings_whatsup 
what is going on ,system_greetings_whatsup 
what's cracking ,system_greetings_whatsup 
what's up today ,system_greetings_whatsup 
what is on your mind ,system_greetings_whatsup 
then what's up ,system_greetings_whatsup 
what's cooking ,system_greetings_whatsup 
whazzup ,system_greetings_whatsup 
hey what's up ,system_greetings_whatsup 
what is up ,system_greetings_whatsup 
what's happened ,system_greetings_whatsup 
what's up ,system_greetings_whatsup 
wassup ,system_greetings_whatsup 
what's shaking ,system_greetings_whatsup 
I said what's up ,system_greetings_whatsup 
How r u? ,system_greetings_how_are_you 
how is your day ,system_greetings_how_are_you 
how is your day going ,system_greetings_how_are_you 
what was your day like ,system_greetings_how_are_you 
is everything all right ,system_greetings_how_are_you 
how has your day been going ,system_greetings_how_are_you 
how is it ,system_greetings_how_are_you 
how is your day going ,system_greetings_how_are_you 
how your day is going ,system_greetings_how_are_you 
how is your day going on ,system_greetings_how_are_you 
how's your day going ,system_greetings_how_are_you 
how is your day being ,system_greetings_how_are_you 
hope you re having a pleasant evening ,system_greetings_how_are_you 
what about your day ,system_greetings_how_are_you 
are you alright ,system_greetings_how_are_you 
how are you doing this morning ,system_greetings_how_are_you 
how are you today ,system_greetings_how_are_you 
are you having a good day ,system_greetings_how_are_you 
how are you ,system_greetings_how_are_you 
how do you feel ,system_greetings_how_are_you 
how are the things going ,system_greetings_how_are_you 
how are you feeling ,system_greetings_how_are_you 
are you okay ,system_greetings_how_are_you 
how is your morning going ,system_greetings_how_are_you 
how is your evening ,system_greetings_how_are_you 
how do you do ,system_greetings_how_are_you 
how have you been ,system_greetings_how_are_you 
how has your day been ,system_greetings_how_are_you 
how are you going ,system_greetings_how_are_you 
how was your day ,system_greetings_how_are_you 
is everything okay ,system_greetings_how_are_you 
how is it going ,system_greetings_how_are_you 
I'm fine and you ,system_greetings_how_are_you 
how are you getting on ,system_greetings_how_are_you 
how about you ,system_greetings_how_are_you 
how's your day ,system_greetings_how_are_you 
how is your life ,system_greetings_how_are_you 
how are you doing ,system_greetings_how_are_you 
how is your morning so far ,system_greetings_how_are_you 
hope your day is going well ,system_greetings_how_are_you 
how's life ,system_greetings_how_are_you 
how is life? ,system_greetings_how_are_you 
how is life ,system_greetings_how_are_you 
I'll be back in a few minutes ,system_user_will_be_back 
I promise to come back ,system_user_will_be_back 
